Nombre del gen;Nombres alternativos;Clase;Antibiotico;Mecanismo;Database;Organismo;RefSeq Sequence Reference;Genbank Accession Number;CARD Accession;Enlace
SAT-2;;Nucleoside;Streptothricin;Inactivation;CARD;Escherichia coli;;AB211124.1;ARO:3002895;https://www.ncbi.nlm.nih.gov/nuccore/AB211124
SAT-4;;Nucleoside;Streptothricin;Inactivation;CARD;Campylobacter coli;NG_048070.1;U01945.1;ARO:3002897;https://www.ncbi.nlm.nih.gov/nuccore/U01945.1
sav1866;;Multidrug;Multidrug;Efflux;UNIPROT/ENA;Staphylococcus aureus subsp. aureus Mu50;;BAB58028.1;ARO:3000489;https://www.ncbi.nlm.nih.gov/protein/BAB58028
sdeY;;Multidrug;Multidrug;Efflux;NCBI;Serratia marcescens;;AB104882.1;;https://www.ncbi.nlm.nih.gov/nuccore/AB104882.1
SHV-1;PIT-2;Cephalosporin, Penam, Carbapenem;Beta-lactam;Inactivation;CARD;Klebsiella pneumoniae;;FJ668814.1;ARO:3001059;https://www.ncbi.nlm.nih.gov/nuccore/FJ668814
smeB;;Cephalosporin, Cephamycin, Penam, Aminoglycoside;Multidrug;Efflux;CARD;Stenotrophomonas maltophilia;;AF173226.1;ARO:3003052;https://www.ncbi.nlm.nih.gov/nuccore/AF173226
smeE;;Fluoroquinolone, Macrolide, Tetracycline, Phenicol;Multidrug;Efflux;CARD;Stenotrophomonas maltophilia;;AJ252200.1;ARO:3003056;https://www.ncbi.nlm.nih.gov/nuccore/AJ252200
smeF;;Fluoroquinolone, Macrolide, Tetracycline, Phenicol;Multidrug;Efflux;CARD;Stenotrophomonas maltophilia;;AJ252200.1;ARO:3003057;https://www.ncbi.nlm.nih.gov/nuccore/AJ252200
soxR;;Tetracycline, Fluoroquinolone, Phenicol, Glycylcycline, Penam, Rifamycin, Cephalosporin, Triclosan, Acridine;Ampicillin, Chloramphenicol, Rifampin, Quinolone, Tetracycline;Efflux, Alteration;CARD;Pseudomonas aeruginosa PAO1;;AE004091.2;ARO:3004107;https://www.ncbi.nlm.nih.gov/nuccore/AE004091.2
APH(9)-Ib;spcN;Aminoglycoside;Spectinomycin;Inactivation;CARD;Streptomyces netropsis;NG_047474.1;U70376.2;ARO:3002663;https://www.ncbi.nlm.nih.gov/nuccore/U70376.2
APH(3'')-Ib;strA, orfH;Aminoglycoside;Streptomycin;Inactivation;CARD;Pseudomonas aeruginosa;NG_047415.1;AF313472.2;ARO:3002639;https://www.ncbi.nlm.nih.gov/nuccore/AF313472.2
sul1;;Sulfonamide;Sulfonamide;Replacement;CARD;Vibrio fluvialis;;JF969163.1;ARO:3000410;https://www.ncbi.nlm.nih.gov/nuccore/JF969163
sul2;;Sulfonamide;Sulfonamide;Replacement;CARD;Vibrio cholerae;;AY055428.1;ARO:3000412;https://www.ncbi.nlm.nih.gov/nuccore/AY055428.1
sul3;;Sulfonamide;Sulfonamide;Replacement;CARD;Escherichia coli;;FJ196385.1;ARO:3000413;https://www.ncbi.nlm.nih.gov/nuccore/FJ196385
TaeA;;Pleuromutilin;Tiamulin;Efflux;CARD;Paenibacillus sp. LC231;NG_063829.1;KX531049.1;ARO:3003986;https://www.ncbi.nlm.nih.gov/nuccore/KX531049.1
TEM-1;TEM-98, RTEM-1, TEM-1B, HCM1.216;Cephalosporin, Penam, Penem, Monobactam;Beta-lactam;Inactivation;CARD;Salmonella enterica subsp. enterica serovar Typhi str. CT18;;AL513383.1;ARO:3000873;https://www.ncbi.nlm.nih.gov/nuccore/AL513383
tet(31);tet31;Tetracycline;Tetracycline;Efflux;CARD;Aeromonas salmonicida subsp. salmonicida;NG_048123.1;AJ250203.1;ARO:3000476;https://www.ncbi.nlm.nih.gov/nuccore/AJ250203.1
tet(33);tet33, tetA(33);Tetracycline;Tetracycline;Efflux;CARD;Corynebacterium glutamicum;NG_048127.1;AJ420072.1;ARO:3000478;https://www.ncbi.nlm.nih.gov/nuccore/AJ420072.1
tet34;tet(34);Tetracycline;Tetracycline;Alteration, Inactivation;NCBI;Vibrio sp. No.6;NG_048129.1;AB061440.1;ARO:3002870;https://www.ncbi.nlm.nih.gov/nuccore/AB061440.1
tet(35);effJ, tet35;Tetracycline;Tetracycline;Efflux;CARD;Vibrio harveyi;;AF353562.1;ARO:3000481;https://www.ncbi.nlm.nih.gov/nuccore/AF353562.1
tet(39);tet39, tetA(39);Tetracycline;Tetracycline;Efflux;CARD;Acinetobacter sp. LUH5605;NG_048137.1;AY743590.1;ARO:3000566;https://www.ncbi.nlm.nih.gov/nuccore/AY743590.1
tet(40);tet40;Tetracycline;Tetracycline;Efflux;CARD;uncultured bacterium;NG_048138.1;AM419751.1;ARO:3000567;https://www.ncbi.nlm.nih.gov/nuccore/AM419751.1
tet(44);;Tetracycline;Tetracycline;Protection;CARD;Campylobacter fetus subsp. fetus;NG_048146.1;FN594949.1;ARO:3000556;https://www.ncbi.nlm.nih.gov/nuccore/FN594949.1
tet(48);;Tetracycline;Tetracycline;Inactivation;NCBI;uncultured bacterium;NG_055773.1;KR857682.1;ARO:3004581;https://www.ncbi.nlm.nih.gov/nuccore/KR857682.1
tet(A);tetA;Tetracycline;Tetracycline;Efflux;CARD;Shigella sonnei;NG_048153.1;AF534183.1;ARO:3000165;https://www.ncbi.nlm.nih.gov/nuccore/AF534183.1
tet(B);tetB;Tetracycline;Tetracycline, Doxycycline, Minocycline;Efflux;CARD;Gram-negative bacterium TC71;NG_048169.1;AB089595.1;ARO:3000166;https://www.ncbi.nlm.nih.gov/nuccore/AB089595.1
tet(C);tetC;Tetracycline;Tetracycline;Efflux;CARD;Aeromonas salmonicida;NG_048177.1;AY043299.1;ARO:3000167;https://www.ncbi.nlm.nih.gov/nuccore/AY043299.1
tet(D);tetD;Tetracycline;Tetracycline;Efflux;CARD;Shigella flexneri Y;;AF467077.1;ARO:3000168;https://www.ncbi.nlm.nih.gov/nuccore/AF467077.1
tet(E);tetE;Tetracycline;Tetracycline;Efflux;CARD;Escherichia coli;NG_048186.1;L06940.1;ARO:3000173;https://www.ncbi.nlm.nih.gov/nuccore/L06940.1
tet(G);tetG;Tetracycline;Tetracycline;Efflux;CARD;Pseudomonas sp.;NG_048190.1;AF133139.1;ARO:3000174;https://www.ncbi.nlm.nih.gov/nuccore/AF133139.1
tet(H);tetH;Tetracycline;Tetracycline;Efflux;CARD;Pasteurella multocida;NG_048194.1;Y15510.1;ARO:3000175;https://www.ncbi.nlm.nih.gov/nuccore/Y15510.1
tet(J);tetJ;Tetracycline;Tetracycline;Efflux;CARD;Proteus mirabilis;NG_048198.1;AF038993.1;ARO:3000177;https://www.ncbi.nlm.nih.gov/nuccore/AF038993.1
tet(K);tetK;Tetracycline;Tetracycline;Efflux;CARD;Staphylococcus aureus;NG_048200.1;S67449.1;ARO:3000178;https://www.ncbi.nlm.nih.gov/nuccore/S67449.1
tet(L);tetL;Tetracycline;Tetracycline;Efflux;CARD;Geobacillus stearothermophilus;NG_048201.1;M11036.1;ARO:3000179;https://www.ncbi.nlm.nih.gov/nuccore/M11036.1
tet(V);tetV;Tetracycline;Tetracycline;Efflux;CARD;Mycolicibacterium smegmatis MC2 155;NG_048280.1;AF030344.1;ARO:3000181;https://www.ncbi.nlm.nih.gov/nuccore/AF030344.1
tet(Y);tetY;Tetracycline;Tetracycline;Efflux;CARD;IncQ plasmid pIE1120;NG_048309.1;AF070999.1;ARO:3000182;https://www.ncbi.nlm.nih.gov/nuccore/AF070999.1
tet(Z);tetZ;Tetracycline;Tetracycline;Efflux;CARD;Corynebacterium glutamicum;NG_048311.1;AF121000.1;ARO:3000183;https://www.ncbi.nlm.nih.gov/nuccore/AF121000.1
tet32;;Tetracycline;Tetracycline;Protection;CARD;Escherichia coli;;EU722333.1;ARO:3000196;https://www.ncbi.nlm.nih.gov/nuccore/EU722333.1
tet36;;Tetracycline;Tetracycline;Protection;CARD;Bacteroides coprosuis DSM 18011;NG_048131.1;AJ514254.1;ARO:3000197;https://www.ncbi.nlm.nih.gov/nuccore/AJ514254.1
tet37;;Tetracycline;Tetracycline;Inactivation;CARD;uncultured bacterium;NG_048132.1;AF540889.1;ARO:300287;https://www.ncbi.nlm.nih.gov/nuccore/AF540889.1
tetA(P);tetP;Tetracycline;Tetracycline;Efflux;CARD;Clostridium perfringens;NG_048314.1;L20800.1;ARO:3000180;https://www.ncbi.nlm.nih.gov/nuccore/L20800.1
tetB(P);tetP;Tetracycline;Tetracycline;Protection;CARD;Clostridium perfringens;NG_048319.1;L20800.1;ARO:3000195;https://www.ncbi.nlm.nih.gov/nuccore/L20800.1
tetM;;Tetracycline;Tetracycline;Protection;CARD;Staphylococcus aureus subsp. aureus ST398;;AM990992.1;ARO:3000186;https://www.ncbi.nlm.nih.gov/nuccore/AM990992.1
tetO;;Tetracycline;Tetracycline;Protection;CARD;Campylobacter jejuni;;M18896.2;ARO:3000190;https://www.ncbi.nlm.nih.gov/nuccore/M18896.2
tetQ;tetA(Q);Tetracycline;Tetracycline;Protection;CARD;Bacteroides fragilis;;Z21523.1;ARO:3000191;https://www.ncbi.nlm.nih.gov/nuccore/Z21523
tetR;;Tetracycline;Tetracycline;Efflux, Alteration;CARD;Salmonella enterica subsp. enterica serovar Typhi str. CT18;;AL513383.1;ARO:3003479;https://www.ncbi.nlm.nih.gov/nuccore/AL513383
tetS;;Tetracycline;Tetracycline;Protection;CARD;Listeria monocytogenes;NG_048273.1;L09756.1;ARO:3000192;https://www.ncbi.nlm.nih.gov/nuccore/L09756.1
tetT;;Tetracycline;Tetracycline;Protection;CARD;Streptococcus pyogenes;;L42544.1;ARO:3000193;https://www.ncbi.nlm.nih.gov/nuccore/L42544
tetU;;Tetracycline;Tetracycline;Efflux;CARD;Enterococcus faecium;;U01917.1;ARO:3004650;https://www.ncbi.nlm.nih.gov/nuccore/U01917.1
tetW;;Tetracycline;Tetracycline;Protection;CARD;Butyrivibrio fibrisolvens;;AJ222769.3;ARO:3000194;https://www.ncbi.nlm.nih.gov/nuccore/AJ222769.3
tetX;;Tetracycline, Glycylcycline;Tetracycline;Inactivation;CARD;Bacteroides fragilis;;M37699.1;ARO:3000205;https://www.ncbi.nlm.nih.gov/nuccore/M37699
tmrB;;Nucleoside;Tunicamycin;Reduced permeability;CARD;Bacillus subtilis subsp. subtilis str. 168;;AL009126.3;ARO:3003059;https://www.ncbi.nlm.nih.gov/nuccore/AL009126.3
TolC;;Peptide, Tetracycline, Penam, Rifamycin, Phenicol, Fluoroquinolone, Aminoglycoside, Penem, Glycylcycline, Carbapenem, Macrolide, Aminocoumarin, Cephalosporin, Cephamycin, Triclosan;Multidrug;Efflux;CARD;Escherichia coli;;FJ768952.1;ARO:3000237;https://www.ncbi.nlm.nih.gov/nuccore/FJ768952
tsnR;;Peptide;Thiostrepton;Alteration;CARD;Streptomyces laurentii;NG_048322.1;L39157.1;ARO:3003060;https://www.ncbi.nlm.nih.gov/nuccore/L39157.1
ttgb;;Tetracycline;Tetracycline;Efflux;UNIPROT/ENA;Pseudomonas putida;;AAC38671.1;;https://www.ncbi.nlm.nih.gov/protein/AAC38671
vanA;;Glycopeptide;Vancomycin, Teicoplanin;Alteration;CARD;Enterococcus faecium;NG_048323.1;M97297.1;ARO:3000010;https://www.ncbi.nlm.nih.gov/nuccore/M97297.1
vanB;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecium;NG_048453.1;KF823969.1;ARO:3000013;https://www.ncbi.nlm.nih.gov/nuccore/KF823969.1
vanC;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus gallinarum;NG_048343.1;AF162694.1;ARO:3000368;https://www.ncbi.nlm.nih.gov/nuccore/AF162694.1
vanC2;;Glycopeptide;Vancomycin;Alteration;NCBI;Enterococcus casseliflavus;NG_048344.1;AY033764.1;;https://www.ncbi.nlm.nih.gov/nuccore/AY033764.1
vanG;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecalis;;DQ212986.1;ARO:3002909;https://www.ncbi.nlm.nih.gov/nuccore/DQ212986
vanH;;Glycopeptide;Vancomycin;Alteration;UNIPROT/ENA;Enterococcus faecium;;AAA24789.1;ARO:3000006;https://www.ncbi.nlm.nih.gov/protein/AAA24789
vanHB;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecalis;NG_055635.1;U35369.1;ARO:3002943;https://www.ncbi.nlm.nih.gov/nuccore/U35369.1
vanM;;Glycopeptide;Vancomycin, Teicoplanin;Alteration;CARD;Enterococcus faecium;NG_048396.1;FJ349556.1;ARO:3002911;https://www.ncbi.nlm.nih.gov/nuccore/FJ349556.1
vanRA;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecium;NG_048399.1;M97297.1;ARO:3002919;https://www.ncbi.nlm.nih.gov/nuccore/M97297.1
vanRB;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecalis;NG_055631.1;U35369.1;ARO:3002921;https://www.ncbi.nlm.nih.gov/nuccore/U35369.1
vanRC;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus gallinarum;NG_048404.1;AF162694.1;ARO:3002922;https://www.ncbi.nlm.nih.gov/nuccore/AF162694.1
vanRE;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecalis;NG_048407.1;FJ872411.1;ARO:3002924;https://www.ncbi.nlm.nih.gov/nuccore/FJ872411.1
vanRF;;Glycopeptide;Vancomycin;Alteration;CARD;Paenibacillus popilliae ATCC 14706;NG_048413.1;AF155139.2;ARO:3002925;https://www.ncbi.nlm.nih.gov/nuccore/AF155139.2
vanRG;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecalis;;DQ212986.1;ARO:3002926;https://www.ncbi.nlm.nih.gov/nuccore/DQ212986
vanRI;;Glycopeptide;Vancomycin;Alteration;CARD;Desulfitobacterium hafniense Y51;NG_055642.1;AP008230.1;ARO:3003728;https://www.ncbi.nlm.nih.gov/nuccore/AP008230.1
vanRM;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecium;NG_048421.1;FJ349556.1;ARO:3002928;https://www.ncbi.nlm.nih.gov/nuccore/FJ349556.1
vanSA;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecium;NG_048425.1;M97297.1;ARO:3002931;https://www.ncbi.nlm.nih.gov/nuccore/M97297.1
vanSB;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecalis;NG_055632.1;U35369.1;ARO:3002932;https://www.ncbi.nlm.nih.gov/nuccore/U35369.1
vanSC;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus gallinarum;NG_048430.1;AF162694.1;ARO:3002933;https://www.ncbi.nlm.nih.gov/nuccore/AF162694.1
vanTC;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus gallinarum;NG_048454.1;AF162694.1;ARO:3002970;https://www.ncbi.nlm.nih.gov/nuccore/AF162694.1
vanTE;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecalis;NG_048456.1;FJ872411.1;ARO:3002971;https://www.ncbi.nlm.nih.gov/nuccore/FJ872411.1
vanTG;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecalis;;DQ212986.1;ARO:3002972;https://www.ncbi.nlm.nih.gov/nuccore/DQ212986
vanUG;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecalis;;DQ212986.1;ARO:3004253;https://www.ncbi.nlm.nih.gov/nuccore/DQ212986
vanWB;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecalis;NG_055634.1;U35369.1;ARO:3002964;https://www.ncbi.nlm.nih.gov/nuccore/U35369.1
vanWG;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecalis;NG_048471.1;DQ212986.1;ARO:3002965;https://www.ncbi.nlm.nih.gov/nuccore/DQ212986.1
vanXA;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecium;;M97297.1;ARO:3002949;https://www.ncbi.nlm.nih.gov/nuccore/M97297
vanXB;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecalis;NG_048481.1;U35369.1;ARO:3002950;https://www.ncbi.nlm.nih.gov/nuccore/U35369.1
vanXD;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecium;;AY082011.1;ARO:3003070;https://www.ncbi.nlm.nih.gov/nuccore/AY082011
vanYB;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecalis;NG_055633.1;U35369.1;ARO:3002956;https://www.ncbi.nlm.nih.gov/nuccore/U35369.1
vanYG1;;Glycopeptide;Vancomycin;Alteration;CARD;Enterococcus faecalis;NG_048528.1;DQ212986.1;ARO:3002959;https://www.ncbi.nlm.nih.gov/nuccore/DQ212986.1
vatA;vat(A);Streptogramin;Virginiamycin;Inactivation;CARD;Staphylococcus aureus;;L07778.1;ARO:3002840;https://www.ncbi.nlm.nih.gov/nuccore/L07778
vatB;vat(B);Streptogramin;Virginiamycin;Inactivation;CARD;Staphylococcus aureus;;U19459.1;ARO:3002841;https://www.ncbi.nlm.nih.gov/nuccore/U19459
vatC;vat(C);Streptogramin;Streptogramin A;Inactivation;CARD;Staphylococcus cohnii;;AF015628.1;ARO:3002842;https://www.ncbi.nlm.nih.gov/nuccore/AF015628
vatE;satG, vat(E);Streptogramin;;Inactivation;CARD;Enterococcus faecium;;AF242872.1;ARO:3002844;https://www.ncbi.nlm.nih.gov/nuccore/AF242872
vatH;vatG;Streptogramin;Streptogramin A;Inactivation;CARD;Enterococcus faecium;;GQ205627.2;ARO:3002845;https://www.ncbi.nlm.nih.gov/nuccore/GQ205627
VEB-1;;Cephalosporin, Monobactam;Beta-lactam;Inactivation;CARD;Pseudomonas aeruginosa;;AF324834.1;ARO:3002370;https://www.ncbi.nlm.nih.gov/nuccore/AF324834.1
VEB-3;;Cephalosporin, Monobactam;Beta-lactam;Inactivation;CARD;Enterobacter cloacae;NG_050327.1;AY536519.1;ARO:3002372;https://www.ncbi.nlm.nih.gov/nuccore/AY536519.1
vgaA;;Streptogramin, Oxazolidinone, Tetracycline, Lincosamide, Phenicol, Pleuromutilin, Macrolide;Streptogramin A;Protection;CARD;Staphylococcus aureus;;M90056.1;ARO:3002829;https://www.ncbi.nlm.nih.gov/nuccore/M90056.1
vgaD;;Streptogramin, Oxazolidinone, Tetracycline, Lincosamide, Phenicol, Pleuromutilin, Macrolide;Streptogramin A;Protection;CARD;Enterococcus faecium;;GQ205627.2;ARO:3002832;https://www.ncbi.nlm.nih.gov/nuccore/GQ205627
vgaE;;Streptogramin, Oxazolidinone, Tetracycline, Lincosamide, Phenicol, Pleuromutilin, Macrolide;Multidrug;Protection;CARD;Staphylococcus aureus subsp. aureus ST398;;FR772051.1;ARO:3002833;https://www.ncbi.nlm.nih.gov/nuccore/FR772051
vgb;vgh, vgbA;Streptogramin;Streptogramin B;Inactivation;CARD;Staphylococcus aureus;NG_048563.1;M20129.1;ARO:3001307;https://www.ncbi.nlm.nih.gov/nuccore/M20129.1
vgbB;;Streptogramin;Streptogramin B;Inactivation;CARD;Staphylococcus cohnii;NG_048564.1;AF015628.1;ARO:3001308;https://www.ncbi.nlm.nih.gov/nuccore/AF015628.1
VIM-1;;Cephalosporin, Penam, Penem, Carbapenem, Cephamycin;Beta-lactam;Inactivation;CARD;Pseudomonas aeruginosa;;AF317511.1;ARO:3002271;https://www.ncbi.nlm.nih.gov/nuccore/AF317511
ykkC;;Aminoglycoside, Tetracycline, Phenicol;Multidrug;Efflux;CARD;Bacillus subtilis subsp. subtilis str. 168;;AL009126.3;ARO:3003063;https://www.ncbi.nlm.nih.gov/nuccore/AL009126
ykkD;;Aminoglycoside, Tetracycline, Phenicol;Multidrug;Efflux;CARD;Bacillus subtilis subsp. subtilis str. 168;;AL009126.3;ARO:3003064;https://www.ncbi.nlm.nih.gov/nuccore/AL009126
